1,1,Balloon Fiesta Park,Balloon Fiesta Park,Balloon Fiesta Museum Drive will be closed to northbound traffic from Alameda Blvd and drivers should not use San Mateo Blvd north of Alameda Blvd.,Car,2020-04-02,TRUE
2,2,Optum Urgent Care - Journal Center,Optum Urgent Care - Journal Center,Optum New Mexico March 27 is transitioning its three testing locations in the Albuquerque metro area to serve solely as Fever Upper Respiratory Infection (FURI) sites. This change will complement drive-through testing so that if a patient with COVID-19 symptoms requires additional care or a more in-depth medical evaluation, they will be brought into these clinics to receive that care.,Car,2020-04-02,TRUE
3,2,Optum Urgent Care - Tramway,Optum Urgent Care - Tramway,Optum New Mexico March 27 is transitioning its three testing locations in the Albuquerque metro area to serve solely as Fever Upper Respiratory Infection (FURI) sites. This change will complement drive-through testing so that if a patient with COVID-19 symptoms requires additional care or a more in-depth medical evaluation, they will be brought into these clinics to receive that care.,Car,2020-04-02,FALSE
4,2,Optum Urgent Care - Rio Rancho,Optum Urgent Care - Rio Rancho,Optum New Mexico March 27 is transitioning its three testing locations in the Albuquerque metro area to serve solely as Fever Upper Respiratory Infection (FURI) sites. This change will complement drive-through testing so that if a patient with COVID-19 symptoms requires additional care or a more in-depth medical evaluation, they will be brought into these clinics to receive that care.,Car,2020-04-02,FALSE
5,3,Gerald Champion Regional Medical Center,Gerald Champion Regional Medical Center,Call for an appointment: 575-443-7505,Car,2020-04-02,FALSE
6,4,Moreno Valley Healthcare,Moreno Valley Healthcare,Drive-thru testing. Referral required. People must call ahead, their case will be triaged by telephone.,Car,2020-04-02,FALSE
7,5,Cimarron Healthcare Clinic,Cimarron Healthcare Clinic,Drive-thru testing. People must call ahead, their case will be triaged by telephone.,Car,2020-04-02,FALSE
8,6,Union County General Hospital,Union County General Hospital,People will be assessed first by the phone, then they will be given directions to come to a quarantine area in the emergency room to determine what services are needed.,Car,2020-04-02,FALSE
9,7,Presbyterian Española Hospital,Presbyterian Española Hospital,Must call site first and be screened before going.,Car,2020-04-02,TRUE
10,8,Gallup Indian Medical Center,Gallup Indian Medical Center,None,Car,2020-04-02,FALSE
11,9,Rehoboth McKinley Christian Healthcare Services,Rehoboth McKinley Christian Healthcare Services,Drive-thru site open daily from 8 a.m. to 7 p.m,Car,2020-04-02,FALSE
12,10,Cibola General Hosptial,Cibola General Hosptial,Call the hospital before coming in.,Car,2020-04-02,FALSE
13,11,Alta Vista Regional Hosptial,Alta Vista Regional Hosptial,Drive-thru testing Monday – Friday from 2 p.m. to 3 p.m.,Car,2020-04-02,FALSE
14,12,Nor-Lea General Hosptial,Nor-Lea General Hosptial,Drive-thru site. People must call site first and be screened before going.,Car,2020-04-02,FALSE
15,13,Presbyterian Rust Medical,Presbyterian Rust Medical,None,Car,2020-04-23,FALSE
16,14,Christus St. Vincent Hospital,Christus St. Vincent Hospital,Call for hours,Car,2020-04-23,FALSE
17,15,Presbyterian Santa Fe Medical Center,Presbyterian Santa Fe Medical Center,Near the ambulance bay,Car,2020-04-23,FALSE
18,16,Guadalupe County Hospital,Guadalupe County Hospital,Call before you go,Car,2020-04-23,FALSE
19,17,Holy Cross Hospital,Holy Cross Hospital,Call for hours,Car,2020-04-23,FALSE
