1,1, +1 (505) 596-2200,None,Hotline,EN,description
2,2, +1 (505) 232-1010,None,Hotline,EN,Pre-screening hotline
3,3, +1 (505) 232-1010,None,Hotline,EN,Pre-screening hotline
4,4, +1 (505) 232-1010,None,Hotline,EN,Pre-screening hotline
5,5, +1 575-443-7505,None,Appointment Line,EN,Pre-screening hotline
6,6, +1 (575) 377-3301,None,Hotline,EN,Appointment Line
7,7, +1 (575) 376-2402,None,Hotline,EN,Pre-screening hotline
8,8, +1 (575) 374-2585,None,Hotline,EN,Pre-screening hotline
9,9, +1 (505) 753-7111,None,Hotline,EN,Pre-screening hotline
10,10, +1 (505) 722-1000,None,Hotline,EN,Pre-screening hotline
11,11, +1 (505) 236-1074,None,Hotline,EN,Pre-screening hotline
12,12, +1 (505) 287-4446,None,Hotline,EN,Pre-screening hotline
13,13, +1 (505) 426-3615,None,Hotline,EN,Pre-screening hotline
14,14, +1 (575) 396-9090,None,Hotline,EN,Hotline
15,15, +1  (505) 232-1010,None,Hotline,EN,Pre-screening hotline
16,16, +1 (505) 913-3361,None,Hotline,EN,Triage Line
17,17, +1 (505) 772-1234,None,Hotline,EN,Pre-screening hotline
18,18, +1 (575) 472-3417,None,Hotline,EN,Pre-screening hotline
19,19, +1 (800) 755-6236,None,Hospital,EN,Pre-screening hotline
